State,Year,Prescription Drug,Hospital and/or Medical (Part A and or B)
Alabama,2012,"335,230","896,232"
Alabama,2013,"437,642","922,697"
Alabama,2014,"446,857","947,312"
Alabama,2015,"454,424","969,195"
Alabama,2016,"457,922","990,244"
Alaska,2012,23815,73024
Alaska,2013,26380,76471
Alaska,2014,27430,80106
Alaska,2015,29388,84063
Alaska,2016,30540,88294
American Samoa,2012,410,"4,070"
American Samoa,2013,460,"4,253"
American Samoa,2014,418,"4,367"
American Samoa,2015,371,"4,377"
American Samoa,2016,371,"4,405"
Arizona,2012,"284,896","1,006,440"
Arizona,2013,"330,745","1,048,708"
Arizona,2014,"364,462","1,092,674"
Arizona,2015,"391,545","1,136,440"
Arizona,2016,"419,004","1,179,856"
Arkansas,2012,"267,852","559,135"
Arkansas,2013,"279,969","572,503"
Arkansas,2014,"290,356","584,894"
Arkansas,2015,"299,935","595,244"
Arkansas,2016,"306,644","606,309"
California,2012,"1,802,908","5,115,010"
California,2013,"2,005,384","5,302,092"
California,2014,"2,047,218","5,482,815"
California,2015,"2,091,514","5,655,927"
California,2016,"2,173,677","5,821,420"
Colorado,2012,"200,532","687,417"
Colorado,2013,"221,396","722,175"
Colorado,2014,"262,635","755,214"
Colorado,2015,"281,335","786,476"
Colorado,2016,"301,028","817,549"
Connecticut,2012,"258,000","595,715"
Connecticut,2013,"283,686","609,330"
Connecticut,2014,"291,603","620,887"
Connecticut,2015,"317,706","631,287"
Connecticut,2016,"326,521","643,014"
Delaware,2012,"77,649","161,198"
Delaware,2013,"105,410","167,952"
Delaware,2014,"110,996","174,567"
Delaware,2015,"117,037","180,731"
Delaware,2016,"121,995","187,238"
District of Columbia,2012,"34,521","82,597"
District of Columbia,2013,"36,970","84,734"
District of Columbia,2014,"38,276","86,802"
District of Columbia,2015,"39,149","88,684"
District of Columbia,2016,"40,195","90,415"
Florida,2012,"1,173,381","3,611,363"
Florida,2013,"1,328,738","3,747,833"
Florida,2014,"1,383,659","3,888,260"
Florida,2015,"1,425,029","4,029,247"
Florida,2016,"1,475,653","4,163,662"
Foreign and Other Outlying Areas,2012,"9,389","395,846"
Foreign and Other Outlying Areas,2013,"10,745","409,096"
Foreign and Other Outlying Areas,2014,"10,053","422,130"
Georgia,2012,"545,107","1,349,735"
Georgia,2013,"600,230","1,411,113"
Georgia,2014,"610,531","1,468,632"
Georgia,2015,"616,680","1,521,944"
Georgia,2016,"622,192","1,574,041"
Guam,2012,"2,661","13,164"
Guam,2013,"2,854","13,737"
Guam,2014,"2,927","14,308"
Guam,2015,"3,012","14,976"
Guam,2016,"3,052","15,606"
Hawaii,2012,"57,344","221,550"
Hawaii,2013,"58,847","229,606"
Hawaii,2014,"59,995","237,337"
Hawaii,2015,"62,483","244,786"
Hawaii,2016,"66,582","252,035"
Idaho,2012,"88,998","249,078"
Idaho,2013,"95,647","260,304"
Idaho,2014,"99,224","270,916"
Idaho,2015,"106,162","282,326"
Idaho,2016,"114,618","294,473"
Illinois,2012,"959,807","1,936,876"
Illinois,2013,"1,054,092","1,986,588"
Illinois,2014,"1,060,776","2,030,251"
Illinois,2015,"1,055,098","2,069,259"
Illinois,2016,"1,084,724","2,112,761"
Indiana,2012,"480,353","1,064,922"
Indiana,2013,"569,436","1,095,830"
Indiana,2014,"588,529","1,125,300"
Indiana,2015,"602,601","1,151,977"
Indiana,2016,"626,203","1,180,051"
Iowa,2012,"308,400","537,844"
Iowa,2013,"336,178","549,662"
Iowa,2014,"346,263","561,464"
Iowa,2015,"357,931","572,458"
Iowa,2016,"370,297","586,171"
Kansas,2012,"232,545","454,091"
Kansas,2013,"254,335","466,098"
Kansas,2014,"255,188","477,525"
Kansas,2015,"261,877","487,587"
Kansas,2016,"273,582","499,305"
Kentucky,2012,"444,008","804,762"
Kentucky,2013,"441,286","827,172"
Kentucky,2014,"450,706","846,800"
Kentucky,2015,"459,631","863,958"
